age,sex,sexornt,agekdbrn,natdrug,grass,happy,hapmar,socbar,polhitok,hunt,fejobaff,discaffm,discaffw,fehire,inttech,meovrwrk,hapunhap,theism,fatalism,godmeans,nihilism,egomeans,evidu,idu30,evcrack,crack30,race,uscitzn,fucitzn,cohort,realinc,realrinc
70,FEMALE,Heterosexual or straight,NA,NA,LEGAL,VERY HAPPY,NA,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1948,9647.5,NA
31,MALE,NA,33,NA,NA,PRETTY HAPPY,VERY HAPPY,NEVER,NA,NEITHER,NA,NA,SOMEWHAT LIKELY,AGREE,Not at all interested,AGREE,FAIRLY HAPPY,NEITHER AGREE NOR DISAGREE,NEITHER AGREE NOR DISAGREE,DISAGREE,NEITHER AGREE NOR DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1987,7377.5,5107.5
68,FEMALE,Heterosexual or straight,17,ABOUT RIGHT,NOT LEGAL,VERY HAPPY,VERY HAPPY,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1950,30645,9647.5
38,FEMALE,NA,34,TOO LITTLE,NA,PRETTY HAPPY,NOT TOO HAPPY,NEVER,NA,NEITHER,STRONGLY FOR,SOMEWHAT UNLIKELY,NA,NA,Moderately interested,AGREE,FAIRLY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1980,45400,20430
57,MALE,NA,NA,NA,NA,VERY HAPPY,NA,NA,YES,RESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHITE,NA,NA,1961,NA,NA
38,MALE,Heterosexual or straight,18,ABOUT RIGHT,LEGAL,PRETTY HAPPY,PRETTY HAPPY,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1980,24970,24970
30,FEMALE,NA,NA,TOO LITTLE,NA,PRETTY HAPPY,NA,NEVER,NA,NEITHER,AGAINST,SOMEWHAT LIKELY,NA,NA,Very interested,AGREE,VERY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1988,45400,2951
68,MALE,NA,22,NA,NOT LEGAL,PRETTY HAPPY,VERY HAPPY,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHITE,NA,NA,1950,24970,9647.5
75,FEMALE,NA,22,TOO LITTLE,NOT LEGAL,PRETTY HAPPY,NA,NEVER,NO,NA,FOR,SOMEWHAT LIKELY,NA,NA,Moderately interested,AGREE,FAIRLY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1943,NA,NA
82,MALE,NA,35,NA,NA,PRETTY HAPPY,PRETTY HAPPY,ONCE A MONTH,NA,NEITHER,NA,NA,SOMEWHAT UNLIKELY,AGREE,Moderately interested,AGREE,VERY HAPPY,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,NA,NA,NA,NA,WHITE,NA,NA,1936,63560,NA
71,MALE,Heterosexual or straight,20,NA,NOT LEGAL,PRETTY HAPPY,PRETTY HAPPY,NEVER,YES,NA,NA,NA,VERY LIKELY,AGREE,NA,AGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1947,24970,NA
44,MALE,NA,22,NA,LEGAL,PRETTY HAPPY,VERY HAPPY,NA,YES,RESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHITE,NA,NA,1974,17025,17025
82,FEMALE,NA,21,NA,NA,PRETTY HAPPY,NA,NEVER,NA,NEITHER,NA,NA,SOMEWHAT LIKELY,AGREE,Not at all interested,AGREE,FAIRLY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1936,5107.5,NA
69,FEMALE,NA,17,TOO LITTLE,NOT LEGAL,VERY HAPPY,VERY HAPPY,NA,NA,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTHER,A U.S. Citizen,NA,1949,NA,NA
40,MALE,Heterosexual or straight,NA,NA,LEGAL,PRETTY HAPPY,NA,NEVER,YES,NA,NA,NA,VERY LIKELY,AGREE,NA,AGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,NA,NA,1978,20430,20430
61,FEMALE,NA,18,TOO LITTLE,NA,PRETTY HAPPY,NA,NEVER,NA,NEITHER,STRONGLY FOR,SOMEWHAT LIKELY,NA,NA,Moderately interested,NEITHER AGREE NOR DISAGREE,FAIRLY HAPPY,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,NEITHER AGREE NOR DISAGREE,AGREE,NA,NA,NA,NA,BLACK,NA,NA,1957,12485,12485
