IDSTUD,ITBIRTHM,ITBIRTHY,ITSEX,ASDAGE,ASSSCI01,ASSEAR01,ASSLIF01,ASSPHY01,ASSKNO01,ASSAPP01,ASSREA01
1680209,8,2005,2,9.67,575.9314,566.289,577.1896,536.1214,582.6321,553.7262,559.69
1680210,4,2005,2,10,610.5729,578.7888,547.6081,594.5265,598.5413,579.4492,591.8176
1680211,11,2005,1,9.42,468.6191,518.0388,588.8377,520.2722,496.6542,475.8334,520.6118
1680212,1,2005,2,10.25,434.5089,433.4303,429.3701,416.3402,309.0297,340.3066,368.1665
1680213,8,2005,1,9.67,472.3872,542.2463,559.9885,522.1836,467.0787,468.0242,504.9894
1680214,7,2004,1,10.75,390.2963,411.6981,450.562,413.4077,367.2936,389.9825,385.5615
1680215,5,2005,1,9.92,606.4441,583.2798,624.3352,600.1426,584.2887,594.9119,581.0078
1680216,12,2004,1,10.33,564.6337,538.3396,555.4503,500.6498,551.4896,551.9638,572.3043
1680217,7,2005,1,9.75,603.0496,564.5425,551.0042,524.4182,596.1301,541.0758,604.5536
1680218,9,2004,2,10.58,468.535,463.645,521.5708,494.135,475.5355,458.1472,451.5118
1680219,3,2005,2,10.08,662.3885,735.8219,737.8335,677.1763,610.4073,587.7441,576.6842
1680220,11,2005,1,9.42,407.1164,334.3502,417.4716,387.9176,446.837,461.5056,488.1405
1680221,7,2005,1,9.75,383.1411,401.3744,395.2878,415.7608,466.1608,466.1309,485.203
1680222,2,2005,2,10.17,538.2087,522.5183,511.8218,481.536,465.2841,477.558,469.0396
1680223,9,2005,2,9.58,547.2541,361.6803,480.0243,441.0621,504.2511,497.1068,513.0521
1680224,6,2005,2,9.83,406.1751,375.8363,363.5256,389.0106,410.9581,398.9866,381.0641
1680225,3,2005,2,10.08,503.3532,459.4625,464.8791,445.992,499.7401,501.2726,485.8049
1680226,12,2004,1,10.33,460.9634,483.0852,485.182,433.4586,433.9451,475.074,473.4809
1680227,6,2005,1,9.83,433.9514,473.5354,458.3495,464.9809,392.7726,435.72,395.1081
1680228,1,2005,1,10.25,579.4122,471.9882,528.3306,475.3946,555.1838,555.9743,537.0732
